intern;print
artist.mb.origin_France;Artist Origin FR (Ref US)
artist.mb.origin_Germany;Artist Origin DE (Ref US)
artist.mb.origin_Ireland;Artist Origin IE (Ref US)
artist.mb.origin_Italy;Artist Origin IT (Ref US)
artist.mb.origin_Norway;Artist Origin NO (Ref US)
artist.mb.origin_Sweden;Artist Origin SE (Ref US)
artist.mb.origin_United.Kingdom;Artist Origin GB (Ref US)
artist.mb.origin_other;Arist Origin Other (Ref US)
track.ab.tonal.key_A;A Key (Ref F, ESSENTIA)
track.ab.tonal.key_A.;Bb Key (Ref F, ESSENTIA)
track.ab.tonal.key_B;B Key (Ref F, ESSENTIA)
track.ab.tonal.key_C;C Key (Ref F, ESSENTIA)
track.ab.tonal.key_C.;C# Key (Ref F, ESSENTIA)
track.ab.tonal.key_D;D Key (Ref F, ESSENTIA)
track.ab.tonal.key_D.;Eb Key (Ref F, ESSENTIA)
track.ab.tonal.key_E;E Key (Ref F, ESSENTIA)
track.ab.tonal.key_F.;F# Key (Ref F, ESSENTIA)
track.ab.tonal.key_G;G Key (Ref F, ESSENTIA)
track.ab.tonal.key_G.;G# Key (Ref F, ESSENTIA)
track.ab.tonal.mode_minor;Minor Mode (Ref Major, ESSENTIA)
track.dz.album.explicitlyrics_TRUE.;Album Contains Explicit Lyrics? 
track.language_German;Track Language German (Ref English)
track.language_Instrumental;Track Language Instrumental (Ref English)
track.language_Spanish..Castilian;Track language Spanish (Ref English)
track.language_other;Track language Other (Ref English)
track.is.instrumental_TRUE.;Is Track Instrumental?
track.is.dach_TRUE.;Is Track From D-A-CH? 
is.major.label_FALSE.;Independent Label? (Ref Major Label)
